name,birthday,nationality
Tom Hanks,1956-07-09,USA
Wagner Moura,1976-06-27,BRAZIL
Julia Roberts,1967-10-28,USA
Fernanda Montenegro,1929-10-16,BRAZIL
Morgan Freeman,1937-06-01,USA
Rodrigo Santoro,1975-08-22,BRAZIL
Meryl Streep,1949-06-22,USA
Alice Braga,1983-04-15,BRAZIL
Leonardo DiCaprio,1974-11-11,USA
Sônia Braga,1950-06-08,BRAZIL
Brad Pitt,1963-12-18,USA
Selton Mello,1972-12-30,BRAZIL
Angelina Jolie,1975-06-04,USA
Marieta Severo,1946-11-02,BRAZIL
Johnny Depp,1963-06-09,USA
Lázaro Ramos,1978-11-01,BRAZIL
Sandra Bullock,1964-07-26,USA
Taís Araújo,1978-11-25,BRAZIL
Robert Downey Jr.,1965-04-04,USA
Debora Falabella,1979-02-22,BRAZIL
Denzel Washington,1954-12-28,USA
Murilo Benício,1971-07-13,BRAZIL
Anne Hathaway,1982-11-12,USA
Cauã Reymond,1980-05-20,BRAZIL
Scarlett Johansson,1984-11-22,USA
Camila Morgado,1975-04-12,BRAZIL
Chris Hemsworth,1983-08-11,USA
Letícia Sabatella,1971-03-08,BRAZIL
Tom Cruise,1962-07-03,USA
Cláudia Abreu,1970-10-12,BRAZIL
Harrison Ford,1942-07-13,USA
Mariana Ximenes,1981-04-26,BRAZIL
Matthew McConaughey,1969-11-04,USA
Wagner Santisteban,1983-04-14,BRAZIL
Will Smith,1968-09-25,USA
Giovanna Antonelli,1976-03-18,BRAZIL
Jennifer Lawrence,1990-08-15,USA
Carol Castro,1984-03-10,BRAZIL
Chris Evans,1981-06-13,USA
Paolla Oliveira,1982-04-14,BRAZIL
Ryan Reynolds,1976-10-23,USA
Isis Valverde,1987-02-17,BRAZIL
Emma Watson,1990-04-15,USA
Marília Pêra,1943-01-22,BRAZIL
Samuel L. Jackson,1948-12-21,USA
Bruno Gagliasso,1982-04-13,BRAZIL
Natalie Portman,1981-06-09,USA
Thiago Lacerda,1978-01-19,BRAZIL
George Clooney,1961-05-06,USA
Mateus Solano,1981-03-20,BRAZIL
Viola Davis,1965-08-11,USA